0 0 0 0 1 1 1 0 0 0 0 1 0 0 3 1 1 0 0 0 0 0 0 0 1 1 1 0 
1 0 0 1 1 1 1 0 0 0 1 0 0 1 3 1 0 0 0 0 0 0 0 1 1 1 1 0 
6 1 1 1 1 0 1 0 0 0 0 0 1 1 3 1 1 1 0 1 0 1 1 0 1 0 1 0 
9 2 0 1 1 1 0 0 0 0 0 0 1 1 3 1 1 0 1 0 1 0 0 1 0 1 1 0 
10 2 1 1 1 0 1 0 0 0 0 1 1 1 3 1 1 1 0 1 0 0 1 0 1 1 1 0 
11 2 1 1 0 1 0 0 0 0 1 0 1 1 3 1 1 0 1 0 0 0 0 1 1 1 0 0 
12 2 1 0 1 0 1 0 0 1 0 0 1 1 3 1 1 1 0 0 0 1 1 1 1 0 1 0 
5 1 1 1 1 1 1 0 1 0 0 0 0 1 3 1 0 0 0 0 0 0 1 1 1 1 0 0 
6 1 1 1 1 1 1 1 0 0 0 1 1 1 3 0 1 0 0 0 0 1 1 1 1 0 1 0 
7 1 1 1 1 1 1 0 1 0 0 0 0 1 3 1 0 0 0 0 0 0 1 1 1 1 0 0 
8 1 1 1 1 1 1 0 0 1 0 0 1 0 3 1 1 1 0 0 0 0 1 1 1 1 1 0 
13 2 0 0 1 0 1 1 0 1 0 1 0 0 3 0 0 1 0 1 1 1 1 0 0 0 1 0 
22 3 1 1 1 1 1 0 0 1 0 1 1 0 3 0 1 1 0 0 0 1 1 1 1 0 1 0 
23 3 0 0 0 0 0 1 1 1 1 1 0 0 3 0 1 1 0 1 0 1 1 0 0 0 1 0 
24 3 0 0 0 0 0 0 0 0 0 0 1 1 3 1 1 0 0 1 0 1 1 0 1 0 1 0 
25 3 0 0 0 0 0 0 0 0 0 0 1 1 3 1 1 0 0 0 1 0 1 1 0 1 0 0 
28 4 0 0 0 0 0 0 0 0 0 0 1 1 3 1 1 0 0 1 0 0 1 1 1 1 1 3 
29 4 0 0 0 0 0 1 1 1 1 1 0 0 3 0 0 1 1 1 1 1 0 0 1 0 1 3 
33 6 0 0 1 0 1 1 1 1 0 1 0 0 3 0 0 1 1 1 1 1 1 0 0 0 0 3 
3 2 0 0 1 1 1 0 0 0 0 1 0 0 3 1 1 0 0 0 0 0 0 0 1 1 1 0 
8 3 1 1 1 1 0 0 0 0 1 0 1 1 3 1 0 0 1 0 0 0 1 1 1 1 0 0 
9 3 1 1 1 0 1 0 0 1 0 1 1 1 3 0 1 1 0 0 0 1 1 1 1 0 1 0 
10 3 1 0 0 0 1 1 1 1 0 1 0 0 3 0 1 1 1 1 0 1 1 0 0 0 1 0 
11 3 1 1 1 1 1 1 0 0 0 1 1 1 3 0 1 0 0 1 0 1 1 1 1 0 1 0 
12 3 1 1 1 1 1 0 1 0 0 0 1 1 3 1 0 0 0 0 1 0 1 1 1 1 0 0 
15 4 0 0 1 1 1 0 0 0 0 1 0 0 3 1 1 0 0 0 0 0 0 0 1 1 1 0 
16 4 0 1 1 1 1 0 0 0 1 0 0 1 3 1 1 0 0 0 0 0 0 1 1 1 1 0 
17 4 1 1 1 1 1 0 0 1 0 0 1 1 3 1 1 0 0 0 0 1 1 1 1 1 1 0 
18 4 0 0 0 0 0 1 1 1 1 1 0 0 3 0 0 1 1 1 1 1 0 0 0 0 1 0 
19 4 0 0 0 0 0 0 0 0 0 0 1 1 3 1 1 0 0 1 0 0 1 1 1 1 1 0 
20 4 0 0 0 0 0 0 0 0 0 0 1 1 3 1 1 0 1 0 0 0 1 1 1 1 0 0 
21 4 0 0 0 0 0 0 0 0 0 0 1 1 3 1 1 1 0 0 0 1 1 1 1 0 1 0 
